"function";"size";"times tested";"graph size";"CPU";"GPU";"factor";"maxdeviation";"stddeviation";"average"
Simple Graph;256;1000;400;46,1907005310059;162,88639831543;0,283576250076294;NaN;NaN;NaN
Simple Graph;256;1000;500;57,6171989440918;161,955795288086;0,355759233236313;NaN;NaN;NaN
Simple Graph;256;1000;600;68,8248977661133;162,589797973633;0,423304319381714;NaN;NaN;NaN
Simple Graph;256;1000;700;80,0921020507813;166,115997314453;0,482145994901657;NaN;NaN;NaN
Simple Graph;256;1000;800;91,4360961914063;170,127197265625;0,537457287311554;NaN;NaN;NaN
Simple Graph;256;1000;900;103,033699035645;174,659805297852;0,589910745620728;NaN;NaN;NaN
Simple Graph;256;1000;1000;114,205703735352;179,319305419922;0,636884570121765;NaN;NaN;NaN
Transfer;1024;1000;1;0,000699999975040555;205,216201782227;3,59523141924001E-06;0;0;0
Transfer;1024;1000;2;0,000699999975040555;205,289703369141;3,61391653314058E-06;0;0;0
Transfer;1024;1000;25;0,000699999975040555;205,501998901367;3,83159203920513E-06;0;0;0
Transfer;1024;1000;50;0,0007999999797903;205,4375;3,93550271837739E-06;0;0;0
Transfer;1024;1000;100;0,0007999999797903;205,32780456543;4,14751320931828E-06;0;0;0
Transfer;1024;1000;200;0,0007999999797903;205,059997558594;4,06368781113997E-06;0;0;0
Transfer;1024;1000;300;0,0007999999797903;205,244995117188;4,23396386395325E-06;0;0;0
Transfer;1024;1000;400;0,0007999999797903;205,683395385742;4,30807676821132E-06;0;0;0
Transfer;1024;1000;500;0,0007999999797903;205,751602172852;4,07092784371343E-06;0;0;0
Transfer;1024;1000;600;0,0007999999797903;205,852401733398;4,12188364862232E-06;0;0;0
Transfer;1024;1000;700;0,0007999999797903;205,9248046875;4,09615404350916E-06;0;0;0
Transfer;1024;1000;800;0,0007999999797903;205,945297241211;4,03505055146525E-06;0;0;0
Transfer;1024;1000;900;0,0007999999797903;206,752899169922;4,2171100176347E-06;0;0;0
Transfer;1024;1000;1000;0,0007999999797903;205,844192504883;4,20220703745144E-06;0;0;0
ManyAddReuse;1024;1000;1;0,137899994850159;206,135299682617;0,000669074011966586;989,6384;244,6332;349,5408
ManyAddReuse;1024;1000;2;0,307099997997284;205,891098022461;0,00149204605259001;NaN;NaN;NaN
ManyAddReuse;1024;1000;25;3,8585000038147;204,906692504883;0,0188308730721474;NaN;NaN;NaN
ManyAddReuse;1024;1000;50;7,65570020675659;204,548904418945;0,0374273620545864;NaN;NaN;NaN
ManyAddReuse;1024;1000;100;15,4007997512817;202,718200683594;0,0759719461202621;NaN;NaN;NaN
ManyAddReuse;1024;1000;200;30,5466995239258;199,540603637695;0,153085350990295;NaN;NaN;NaN
ManyAddReuse;1024;1000;300;45,8251991271973;197,330200195313;0,232226386666298;NaN;NaN;NaN
ManyAddReuse;1024;1000;400;61,0868988037109;195,328796386719;0,312738925218582;NaN;NaN;NaN
ManyAddReuse;1024;1000;500;75,9753036499023;195,240905761719;0,389136075973511;NaN;NaN;NaN
ManyAddReuse;1024;1000;600;91,0394973754883;199,937805175781;0,455339312553406;NaN;NaN;NaN
ManyAddReuse;1024;1000;700;106,42960357666;204,120895385742;0,521404683589935;NaN;NaN;NaN
ManyAddReuse;1024;1000;800;121,650802612305;209,969802856445;0,579373180866241;NaN;NaN;NaN
ManyAddReuse;1024;1000;900;136,645401000977;216,075103759766;0,632397830486298;NaN;NaN;NaN
ManyAddReuse;1024;1000;1000;151,926696777344;224,591400146484;0,676458239555359;NaN;NaN;NaN
ManySubReuse;1024;1000;1;0,162699997425079;240,011505126953;0,0006780558032915;NaN;NaN;NaN
ManySubReuse;1024;1000;2;0,318699985742569;240,283599853516;0,00132649869192392;NaN;NaN;NaN
ManySubReuse;1024;1000;25;3,99000000953674;239,305404663086;0,0166733767837286;NaN;NaN;NaN
ManySubReuse;1024;1000;50;7,91359996795654;238,757507324219;0,0331451222300529;NaN;NaN;NaN
ManySubReuse;1024;1000;100;15,7658004760742;236,157592773438;0,0667599961161613;NaN;NaN;NaN
ManySubReuse;1024;1000;200;31,5165004730225;233,409194946289;0,135027125477791;NaN;NaN;NaN
ManySubReuse;1024;1000;300;47,3758010864258;230,668899536133;0,205384835600853;NaN;NaN;NaN
ManySubReuse;1024;1000;400;63,0245018005371;228,035903930664;0,276379734277725;NaN;NaN;NaN
ManySubReuse;1024;1000;500;78,8498992919922;226,516296386719;0,348098158836365;NaN;NaN;NaN
ManySubReuse;1024;1000;600;94,4602966308594;227,62890625;0,41497528553009;NaN;NaN;NaN
ManySubReuse;1024;1000;700;110,066802978516;232,664306640625;0,473071336746216;NaN;NaN;NaN
ManySubReuse;1024;1000;800;125,644599914551;238,524200439453;0,526758432388306;NaN;NaN;NaN
ManySubReuse;1024;1000;900;141,593505859375;245,524597167969;0,576698124408722;NaN;NaN;NaN
